Word,Occurrences,TotalSteps
parasol,5,7
carving,1,2
month,20,44
scream,1,1
vive,1,2
barred,1,1
neither,27,27
empress,1,1
paired,1,1
friendless,1,1
impressively,3,4
ohs,1,1
laundrywoman,1,1
simmer,1,2
street,20,23
redder,6,6
instant,11,11
holes,2,2
redden,1,1
spilled,1,1
dursnt,1,2
notice,10,16
current,1,1
fatherless,1,2
speechless,2,2
excellently,6,6
policy,1,4
blazed,2,4
bathed,1,2
tempest,2,3
reposing,1,2
share,13,20
confessing,1,1
oil,2,5
graciously,8,14
slowly,33,90
dignity,14,49
humor,6,7
bell,12,21
undone,1,1
&,1,1
obstreperous,1,1
magical,1,3
ruffled,8,9
elegance,7,13
sharp,23,23
traits,1,3
wherry,1,2
belt,2,2
linger,1,1
capricious,2,3
sick,34,49
milkman,1,1
repress,1,2
vivan,1,1
concerned,1,1
police,2,3
2,3,3
pulling,6,6
boys,101,101
lifts,1,1
desultory,1,1
outset,1,3
lighting,1,2
wearin,2,2
bespattered,1,3
grandpa,23,29
mother,327,712
tempers,5,5
opportunities,3,3
outbreak,1,2
eaten,3,5
flowery,2,2
daring,3,3
denis,1,3
confession,2,3
side,53,111
flowers,62,62
relapse,1,1
smiling,35,36
arsenic,1,1
detest,2,2
toothbrush,1,4
complimentary,2,5
ellen,4,5
everlasting,3,6
contrasting,2,2
ostentatiously,1,1
pockets,8,8
glowed,6,6
sauntered,1,1
frenchwoman,5,5
bend,4,5
cuddled,5,9
sympathetic,3,3
incoherently,1,2
bigger,5,8
uttered,9,9
pasting,1,1
a,4466,4466
b,1,1
convulse,1,5
parish,1,4
producing,5,8
c,3,4
russian,2,6
wrapping,2,3
slashed,1,1
proposition,1,2
pearl,5,6
bent,17,19
childs,2,4
i,3151,8505
poodles,1,3
scorned,1,2
question,20,43
k,5,5
l,2,2
future,9,11
confiding,8,16
m,3,5
tile,1,3
pennies,1,2
n,1,1
o,3,3
p,4,5
repining,1,1
jardin,1,1
s,3,3
diplomatically,1,3
t,1,2
firin,1,1
till,190,190
listless,4,5
old,378,706
bowing,2,2
recited,1,1
haste,6,6
betokens,1,1
conscience,10,11
deliberately,2,3
varying,1,3
dashing,4,8
readers,5,10
pastime,2,2
buyer,1,1
guitar,1,1
whisky,1,2
interested,19,24
jouvins,1,2
consumed,1,1
strong,51,51
seeking,1,3
imitation,3,5
sentimentlly,1,1
presentable,1,2
schillers,2,3
discouragements,1,3
anyway,5,6
time,319,796
debate,1,3
confused,2,3
hasty,12,22
rewarded,2,3
streak,3,4
quizzing,1,2
relevant,1,1
sift,1,2
harbor,1,1
survey,2,2
unselfish,4,4
needlebook,1,3
tinkling,1,2
forlorn,8,17
ribbons,9,9
seasons,1,2
hanging,6,11
gliding,2,2
remained,11,11
chronic,1,1
sigh,26,26
tina,15,15
reveled,4,4
radiance,1,2
sign,17,31
imitating,3,3
tink,2,2
sonata,1,2
wearer,2,2
pause,20,22
ear,11,21
one,706,1945
shield,5,6
chickweed,2,2
eat,29,29
newborn,1,1
sparkle,3,3
savagely,1,2
clashed,3,3
eatin,1,1
silks,1,1
tiny,8,8
shawl,5,5
silky,1,1
pickwick,16,16
allumettes,1,2
ballroom,3,4
convent,1,1
admission,3,3
infect,1,1
cheered,5,5
mightnt,1,2
acquaintance,5,9
irrestible,1,3
impatient,8,11
voices,12,21
falter,2,2
bootjack,2,4
effectual,1,2
croqueting,1,1
agony,1,3
draped,3,6
suited,17,31
featherbeds,1,1
cockles,1,2
dollanity,1,1
conjectures,1,2
crustiness,2,3
lunches,1,1
goethe,1,1
twittered,1,2
voiced,1,1
truck,1,2
debarred,1,1
beggars,1,1
swear,2,2
appealing,3,4
silly,32,60
trains,1,3
advantage,3,5
emotion,5,7
stroke,6,6
symposium,1,1
ballast,2,2
succeed,4,4
holly,1,2
exhaustion,2,3
dispersed,1,3
screaming,1,2
recovered,8,14
january,1,1
tips,1,2
dispatches,2,2
sauce,1,3
rice,1,2
females,1,1
sorrowfully,6,7
globes,1,1
odors,1,1
rich,61,61
oppose,1,2
breathes,1,1
dentists,1,1
carnival,1,2
bluntly,1,1
bess,1,2
departed,21,31
best,175,175
michelangelo,1,2
africa,1,1
popular,2,4
dispatched,3,5
dovecote,4,10
opy,1,1
bilin,1,1
newcomers,1,1
saucy,2,2
winters,1,1
steered,1,1
wrinkles,2,2
salubrious,1,1
forgetfulness,1,3
ruling,2,3
beth,414,572
resisting,1,3
pretending,3,6
ride,12,28
untrue,2,2
missis,1,1
solace,3,3
vivid,1,1
socks,3,3
wrinkled,3,4
pattern,3,5
hounds,1,1
guards,2,2
sausage,1,2
approve,9,13
truer,1,1
librarians,1,2
showing,11,13
disquiet,1,1
tire,3,3
unprotected,1,1
favorite,25,25
division,1,1
buoyancy,1,1
eer,1,1
agitated,3,4
bonbons,3,3
enfant,1,3
breasts,2,3
happiest,10,20
gloom,3,4
complaints,2,3
bitter,24,24
feather,3,3
ocean,2,3
pilgrim,3,5
managed,10,10
sprawled,1,3
bitten,1,2
contribution,2,3
bridling,1,1
statuesque,1,5
hobby,1,4
ripen,3,7
buttonhole,3,7
dragged,4,9
convert,1,1
waters,1,1
tending,1,2
silk,30,42
posture,1,1
orders,7,8
lauries,49,91
duties,10,10
manager,1,2
liveliest,2,2
manages,1,3
rakish,1,2
oppress,2,4
rhythmic,1,3
pondering,1,2
wheedlesome,4,6
moaned,1,1
preposterous,1,2
beach,3,5
unfitted,1,1
healths,1,2
twelve,13,19
urged,2,2
nymph,1,2
stirring,3,5
bearlike,1,1
sweep,4,4
healthy,6,7
sword,3,4
circumspection,1,3
usurper,1,2
swore,1,1
indulging,1,2
unexpected,12,16
sweet,69,69
ornaments,6,6
turban,1,1
droning,1,1
sworn,1,2
console,7,13
greatcoat,4,5
bills,5,6
lovelornity,3,3
elephants,1,3
implored,3,4
christmas,38,57
pertinaciously,1,1
gypsies,1,3
jacket,3,5
managing,2,4
weather,18,18
terms,3,5
gesture,15,27
announce,1,1
indolence,1,1
owing,2,3
esteemed,1,1
theory,3,4
borrow,7,10
beads,3,3
boyish,16,16
equestrian,1,3
sing,17,31
household,12,34
patted,3,4
potions,3,3
chateau,5,7
curiosity,14,19
games,4,7
ittle,1,1
sink,1,1
upholsterer,1,2
climb,5,6
wonderschones,1,1
ninepence,1,2
resentment,2,2
ponies,5,5
reveries,1,5
undiminished,1,4
neatly,4,9
wardrobes,1,2
array,8,25
crayon,2,2
friendliest,3,4
sins,8,13
prevoking,1,2
shoulders,19,23
haunting,1,1
style,27,27
oui,1,1
caricatures,2,3
tiresome,2,3
misses,3,3
involuntarily,4,4
insinuatingly,1,1
subjected,1,2
wouldnt,94,108
our,151,151
admirers,2,2
rosary,5,7
commisary,1,2
out,484,1049
refusing,2,3
belles,2,2
untoward,1,1
uncommonly,7,9
glory,4,8
usually,17,47
allegory,1,2
disconsolately,1,1
catastrophe,1,1
missed,11,11
argue,2,3
hurrying,4,5
irresistibly,2,2
sonorous,1,1
cling,3,4
boxes,6,7
ein,1,1
nests,2,2
crackers,1,1
speculating,1,3
indignantly,5,7
cruel,10,21
